,zipcode,city,latitude,longitude,dist
13786,24594,Rade bei Hohenwestedt,54.10245874560229,9.71676598067571,3021.4915834428148
13787,24321,Giekau,54.3180060109664,10.5051403254271,3060.8037502642965
13788,97295,Waldbrunn (Kreis Würzburg),49.7586,9.80361,2572.0290429921
13789,29465,Schnega,52.8828,10.8701,2914.7496098500005
13790,23936,Hanshagen bei Grevesmühlen,53.805609999999994,11.14752,3019.3108696224995
13791,9306,Seelitz bei Rochlitz,51.0333,12.8167,2768.6655077799996
13792,98667,Schleusegrund,50.5233,10.8667,2670.6890117800003
13793,17139,Faulenrost Demzin,53.66713000000001,12.78792,3043.6917403633006
13794,14641,"Nauen, Havelland",52.60686,12.88135,2933.4108968820997
13795,23821,"Rohlstorf, Holstein",53.96856999999999,10.40755,3020.923644847399
13796,18258,Wiendorf bei Bützow Zeez,53.962619999999994,12.14558,3059.4794708007994
13797,54647,Pickließem,49.9917,6.646,2543.33938489
13798,1829,Wehlen,50.956590000000006,14.031789999999999,2793.4651950322004
13799,17129,Bentzin,53.94639,13.2756400000001,3086.455611441703
13800,55592,Desloch,49.7167,7.63333,2530.0179857789003
13801,65835,Liederbach am Taunus,50.1167,8.5,2583.93361889
13802,57250,Netphen,50.9167,8.1,2658.12033889
13803,6308,Siersleben,51.60403,11.544410000000001,2796.249314489
13804,93128,Regenstauf,49.1217,12.1292,2560.0589035299995
13805,24616,Armstedt,53.9711897939432,9.84708625133515,3009.8544354150727
13806,19294,Eldena an der Elde Krohn,53.254690000000004,11.45903,2967.3713755370004
13807,50667,Köln,50.9333,6.95,2642.5035488900003
13808,50668,Köln,50.9333,6.95,2642.5035488900003
13809,50670,Köln,50.9333,6.95,2642.5035488900003
13810,50672,Köln,50.9333,6.95,2642.5035488900003
13811,50674,Köln,50.9333,6.95,2642.5035488900003
13812,50676,Köln,50.9333,6.95,2642.5035488900003
13813,50677,Köln,50.9333,6.95,2642.5035488900003
13814,50678,Köln,50.9333,6.95,2642.5035488900003
13815,50679,Köln,50.9333,6.95,2642.5035488900003
13816,50733,Köln,50.9333,6.95,2642.5035488900003
13817,50735,Köln,50.9333,6.95,2642.5035488900003
13818,50737,Köln,50.9333,6.95,2642.5035488900003
13819,50739,Köln,50.9333,6.95,2642.5035488900003
13820,50765,Köln,50.9333,6.95,2642.5035488900003
13821,50767,Köln,50.9333,6.95,2642.5035488900003
13822,50769,Köln,50.9333,6.95,2642.5035488900003
13823,50823,Köln,50.9333,6.95,2642.5035488900003
13824,50825,Köln,50.9333,6.95,2642.5035488900003
13825,50827,Köln,50.9333,6.95,2642.5035488900003
13826,50829,Köln,50.9333,6.95,2642.5035488900003
13827,50858,Köln,50.9333,6.95,2642.5035488900003
13828,50859,Köln,50.9333,6.95,2642.5035488900003
13829,50931,Köln,50.9333,6.95,2642.5035488900003
13830,50933,Köln,50.9333,6.95,2642.5035488900003
13831,50935,Köln,50.9333,6.95,2642.5035488900003
13832,50937,Köln,50.9333,6.95,2642.5035488900003
13833,50939,Köln,50.9333,6.95,2642.5035488900003
13834,50968,Köln,50.9333,6.95,2642.5035488900003
13835,50969,Köln,50.9333,6.95,2642.5035488900003
13836,50996,Köln,50.9333,6.95,2642.5035488900003
13837,50997,Köln,50.9333,6.95,2642.5035488900003
13838,50999,Köln,50.9333,6.95,2642.5035488900003
13839,51061,Köln,50.9333,6.95,2642.5035488900003
13840,51063,Köln,50.9333,6.95,2642.5035488900003
13841,51065,Köln,50.9333,6.95,2642.5035488900003
13842,51067,Köln,50.9333,6.95,2642.5035488900003
13843,51069,Köln,50.9333,6.95,2642.5035488900003
13844,51103,Köln,50.9333,6.95,2642.5035488900003
13845,51105,Köln,50.9333,6.95,2642.5035488900003
13846,51107,Köln,50.9333,6.95,2642.5035488900003
13847,51109,Köln,50.9333,6.95,2642.5035488900003
13848,51143,Köln,50.9333,6.95,2642.5035488900003
13849,51145,Köln,50.9333,6.95,2642.5035488900003
13850,51147,Köln,50.9333,6.95,2642.5035488900003
13851,51149,Köln,50.9333,6.95,2642.5035488900003
13852,7751,Bucha bei Jena,50.8833,11.5167,2721.74459778
13853,57629,Höchstenbach,50.6333,7.7333300000000005,2623.5354617789
13854,39175,Königsborn bei Magdeburg,52.1354897550232,11.757819560852099,2856.3556128216856
13855,6369,Osternienburg Großpaschleben,51.76109,11.9330600000001,2821.6083589517025
13856,3229,Altdöbern,51.64965,14.025429999999998,2864.3990318073998
13857,1920,Panschwitz-Kuckau,51.23389,14.19934,2826.5327409677
13858,91541,Rothenburg ob der Tauber,49.3833,10.1833,2542.40991778
13859,82377,Penzberg,47.75,11.3833,2409.64201889
13860,67271,Kleinkarlbach,49.5386,8.14972,2520.4908260384004
13861,54295,Trier Olewig,49.75,6.63333,2519.0635668889
13862,54296,Trier Olewig,49.75,6.63333,2519.0635668889
13863,19246,Lüttow-Valluhn,53.525980000000004,10.85268,2982.8111981428005
13864,98617,Ellingshausen bei Meiningen,50.55,10.4667,2664.8543088899996
13865,48431,Rheine,52.28161,7.44484999999997,2788.7925357145996
13866,48429,Rheine,52.28161,7.44484999999997,2788.7925357145996
13867,48432,Rheine,52.28161,7.44484999999997,2788.7925357145996
13868,55471,Neuerkirch,50.0167,7.4833300000000005,2557.6705067789003
13869,71159,Mötzingen,48.5333,8.76667,2432.3357117788996
13870,87561,Oberstdorf,47.4101,10.28,2353.39598201
13871,91443,Scheinfeld,49.6667,10.4667,2576.3328977799997
13872,39615,Bretsch Drüsedau,52.857009999999995,11.69956,2930.7432103336996
13873,21782,Bülkau,53.7471,8.97896,2969.3724810916005
13874,9306,Königsfeld bei Rochlitz,51.0667,12.75,2770.3703488899996
13875,97282,Retzstadt,49.9125,9.88194,2588.9103944136004
13876,49497,"Mettingen, Westfalen",52.31716,7.780880000000019,2797.6273240400005
13877,88371,Ebersbach-Musbach,47.9667,9.58333,2392.6445227789004
13878,66359,Bous,49.2833,6.8,2475.0836588899997
13879,35094,Lahntal,50.8619,8.69762,2662.5814652743998
13880,55490,"Gemünden, Hunsrück",49.9,7.46667,2545.7611608888997
13881,18279,Lalendorf,53.757490000000004,12.3914600000001,3043.4160120317033
13882,98744,Lichtenhain / Bergbahn,50.6,11.1333,2684.31036889
13883,98617,Utendorf,50.6167,10.4333,2670.9040677800003
13884,21717,Fredenbeck,53.52279,9.40081,2953.0642780402
13885,7922,Tanna bei Schleiz,50.5,11.85,2690.6725
13886,17179,Walkendorf,53.9530653727823,12.550858306884699,3068.457307359217
13887,57612,Busenhausen,50.7167,7.63333,2630.4513857789007
13888,6347,Zabenstedt,51.6206,11.66975,2800.8694094225007
13889,56651,Galenberg,50.4333,7.2,2595.3577488900005
13890,2923,Kodersdorf,51.23452,14.8958,2846.8608972704005
13891,35279,Neustadt (Hessen),50.85,9.11667,2668.8361718889005
13892,71272,Renningen,48.7667,8.93333,2457.9954137789
13893,83737,Irschenberg Radthal,47.8333,11.9167,2430.03232778
13894,83739,Irschenberg Radthal,47.8333,11.9167,2430.03232778
13895,67229,Laumersheim,49.55,8.23333,2522.9902228889
13896,16306,Passow bei Angermünde,53.142869999999995,14.115079999999999,3023.4001152432993
13897,16306,Passow,53.142869999999995,14.115079999999999,3023.4001152432993
13898,16306,Welsebruch,53.142869999999995,14.115079999999999,3023.4001152432993
13899,25813,Schwesing,54.4948242333665,9.135028870349561,3053.1346206876287
13900,35110,"Frankenau, Hessen",51.1,8.93333,2691.0143848889
13901,6774,Krina,51.6564742844175,12.487383291015599,2824.3260769534218
13902,7366,"Blankenstein, Saale",50.4,11.7,2677.0499999999997
13903,4932,Röderland,51.433223534462606,13.4999628414917,2827.6254798676546
13904,15913,Spreewaldheide Sacrow-Waldow,51.9607881,14.1348188,2899.7166024819353
13905,95689,Fuchsmühl,49.9167,12.15,2639.2994388899997
13906,73450,Neresheim,48.75,10.35,2483.685
13907,55758,"Asbach, Hunsrück",49.8167,7.28333,2534.7504947789
13908,4916,Kremitzaue Polzen,51.7068660967916,13.3059405026245,2850.64805421092
13909,74749,Rosenberg (Baden),49.4558,9.47306,2535.6150194036004
13910,17379,Altwigshagen,53.70426,13.834489999999999,3075.5406557077
13911,4936,Lebusa,51.79547,13.41939,2862.8507404930006
13912,66123,Saarbrücken Jägersfreude,49.2333,7.0,2472.91782889
13913,84109,Wörth an der Isar,48.6167,12.35,2516.10601889
13914,54646,"Halsdorf, Eifel",49.9333,6.36667,2533.8689357789003
13915,85655,Aying Loibersdorf bei Großhelfendorf,47.960215000000005,11.836566900000001,2440.2865388244013
13916,9221,Neukirchen / Erzgebirge,50.7833,12.8667,2744.4955277799995
13917,76684,Östringen,49.22,8.71222,2498.5111773284
13918,6632,Größnitz,51.1833,11.7167,2757.0112577800005
13919,66780,Rehlingen-Siersburg,49.3667,6.683330000000001,2481.7379687789003
13920,55246,Wiesbaden Mainz-Kostheim,50.00277,8.305555,2569.2592515309248
13921,27749,Delmenhorst,53.05226999999999,8.63375999999994,2889.0851638904983
